%time,field
1548122277770015001,1.35000002384
1548122277818018913,1.30999994278
1548122277866147994,1.29999995232
1548122277914156913,1.29999995232
1548122277962085008,1.23000001907
1548122278058352947,1.19000005722
1548122278106183052,1.16999995708
1548122278154198884,1.13999998569
1548122278202229976,1.13999998569
1548122278250248908,1.10000002384
1548122278298226118,1.08000004292
1548122278346301078,1.07000005245
1548122278394188880,1.02999997139
1548122278443295001,1.01999998093
1548122278491184949,1.02999997139
1548122278539386034,0.939999997616
1548122278587209939,0.959999978542
1548122278635227918,0.920000016689
1548122278683140039,0.910000026226
1548122278731050014,0.889999985695
1548122278779242992,0.870000004768
1548122278827158927,0.839999973774
1548122278875046968,0.829999983311
1548122278923253059,0.800000011921
1548122278971133947,0.800000011921
1548122279019222974,0.769999980927
1548122279066817998,0.75
1548122279115159988,0.740000009537
1548122279163037061,0.72000002861
1548122279211158990,0.680000007153
1548122279307275056,0.660000026226
1548122279356106996,0.649999976158
1548122279404195070,0.620000004768
1548122279452204942,0.610000014305
1548122279500197887,0.579999983311
1548122279548037052,0.560000002384
1548122279596174001,0.560000002384
1548122279644267082,0.610000014305
1548122279692292928,0.569999992847
1548122279740078926,0.579999983311
1548122279788214921,0.629999995232
1548122279835984945,0.740000009537
1548122279884243965,1.53999996185
1548122279932202100,1.16999995708
1548122279980098962,1.25999999046
1548122280027932882,1.32000005245
1548122280076049089,1.37999999523
1548122280124116897,1.42999994755
1548122280173059940,1.47000002861
1548122280220850944,1.49000000954
1548122280269186973,1.51999998093
1548122280317101955,1.54999995232
1548122280365060091,1.54999995232
1548122280413132905,1.57000005245
1548122280461077928,1.58000004292
1548122280557303905,1.57000005245
1548122280604969978,1.51999998093
1548122280653178930,1.66999995708
1548122280701090097,1.48000001907
1548122280749294996,1.50999999046
1548122280797168970,1.47000002861
1548122280845238924,1.47000002861
1548122280893151044,1.45000004768
1548122280941154956,1.50999999046
1548122280989249944,1.48000001907
1548122281037139892,1.40999996662
1548122281085901975,1.38999998569
1548122281134268999,1.38999998569
1548122281181372880,1.39999997616
1548122281229986906,1.38999998569
1548122281277609109,1.37999999523
1548122281326194047,1.36000001431
1548122281374242067,1.36000001431
1548122281422311067,1.35000002384
1548122281470217943,1.34000003338
1548122281518187046,1.34000003338
1548122281566317081,1.33000004292
1548122281614304065,1.32000005245
1548122281662056922,1.29999995232
1548122281758419036,1.29999995232
1548122281806005001,1.28999996185
1548122281854280948,1.27999997139
1548122281902179956,1.26999998093
1548122281950254917,1.26999998093
1548122281998169898,1.25999999046
1548122282047070026,1.25
1548122282094954967,1.25
1548122282143173933,1.24000000954
1548122282190957069,1.23000001907
1548122282239129066,1.23000001907
1548122282287182092,1.21000003815
1548122282335024118,1.20000004768
1548122282382956981,1.21000003815
1548122282430996894,1.20000004768
1548122282479207992,1.20000004768
1548122282527250051,1.19000005722
1548122282575275897,1.19000005722
1548122282623130083,1.20000004768
1548122282671159029,1.20000004768
1548122282719146013,1.20000004768
1548122282767054080,1.19000005722
1548122282815259933,1.20000004768
1548122282863076925,1.20000004768
1548122282911183118,1.20000004768
1548122283007169008,1.20000004768
1548122283056188106,1.21000003815
1548122283104151964,1.21000003815
1548122283151973009,1.22000002861
1548122283200156927,1.22000002861
1548122283248107910,1.21000003815
1548122283296241998,1.22000002861
1548122283344153881,1.22000002861
1548122283392189979,1.23000001907
1548122283440148115,1.22000002861
1548122283487968921,1.23000001907
1548122283535944938,1.23000001907
1548122283584239006,1.23000001907
1548122283632137060,1.23000001907
1548122283680275917,1.25
1548122283728136062,1.24000000954
1548122283776005983,1.24000000954
1548122283824153900,1.25
1548122283873233079,1.25
1548122283920882940,1.24000000954
1548122283969085931,1.23000001907
1548122284017170906,1.14999997616
1548122284065315008,1.13999998569
1548122284113164901,1.20000004768
1548122284161175012,1.16999995708
1548122284257318973,1.13999998569
1548122284305041074,1.12999999523
1548122284353235006,1.11000001431
1548122284400996923,1.08000004292
1548122284449240922,1.07000005245
1548122284497134923,1.03999996185
1548122284545217990,1.01999998093
1548122284593130111,1.00999999046
1548122284641225099,0.980000019073
1548122284689039945,0.959999978542
1548122284737350940,0.930000007153
1548122284785223007,0.939999997616
1548122284833255052,0.899999976158
1548122284881162881,0.879999995232
1548122284930088996,0.860000014305
1548122284978209018,0.850000023842
1548122285026205062,0.819999992847
1548122285074075937,0.800000011921
1548122285122169017,0.790000021458
1548122285170269012,0.759999990463
1548122285218208074,0.75
1548122285266212940,0.72000002861
1548122285314189910,0.709999978542
1548122285362055063,0.699999988079
1548122285458273887,0.649999976158
1548122285506117105,0.629999995232
1548122285554227113,0.610000014305
1548122285602057933,0.589999973774
1548122285650222063,0.560000002384
1548122285698173046,0.540000021458
1548122285746193885,0.52999997139
1548122285794080972,0.509999990463
1548122285842277050,0.490000009537
1548122285891148090,0.479999989271
1548122285939201116,0.469999998808
1548122285987179994,0.449999988079
1548122286035228967,0.439999997616
1548122286082989931,0.409999996424
1548122286130954027,0.360000014305
1548122286179044008,0.319999992847
1548122286227011919,0.259999990463
1548122286275073051,0.239999994636
1548122286323057889,0.189999997616
1548122286371084928,0.15000000596
1548122286418993949,0.0
1548122286466763019,0.119999997318
1548122286515007019,0.0
1548122286563097953,0.0799999982119
1548122286611031055,0.0
1548122286707129955,0.289999991655
1548122286755069017,0.0
1548122286803086996,0.0
1548122286851726055,0.0
1548122286900053977,0.0
1548122286947922945,0.0
1548122286996134042,0.0
1548122287044048070,0.0
1548122287092034101,0.0
1548122287139947891,0.0
1548122287187963008,0.0
1548122287235764026,0.0
1548122287284017086,0.0
1548122287331927061,0.0
1548122287380253076,0.0
1548122287428109884,0.0
1548122287476222991,0.0
1548122287523984909,0.0
1548122287572057962,0.0
1548122287620081901,0.0
1548122287668124914,0.0
1548122287716068983,0.0
1548122287763690948,0.0
1548122287812890052,0.0
1548122287861043930,0.0
1548122287957201957,0.0
1548122288004936933,0.0
1548122288053098917,0.0
1548122288101162910,0.0
1548122288149211883,0.0
1548122288197119951,0.0
1548122288245121955,0.0
1548122288292900085,0.0
1548122288341078996,0.0
1548122288389053106,0.0
1548122288437196969,0.0
1548122288484971046,0.0
1548122288533077955,0.0
1548122288581000089,0.0
1548122288629107952,0.0
1548122288676909923,0.0
1548122288726063013,0.0
1548122288774080038,0.0
1548122288822000980,0.0
1548122288870177984,0.0
1548122288918112039,0.0
1548122288966113090,0.0
1548122289014115095,0.0
1548122289061911106,0.0
1548122289158215045,0.0
1548122289206267118,0.0
1548122289254244089,0.0
1548122289302171945,0.0
1548122289350258111,0.0
1548122289398005008,0.0
1548122289446245908,0.0
1548122289494420051,0.0
1548122289542398929,0.0
1548122289590008020,0.0
1548122289638314962,0.0
1548122289687192916,0.0
1548122289735040903,0.0
1548122289782958984,0.0
1548122289830894947,0.0
1548122289878971099,0.0
1548122289927114963,0.0
1548122289975042104,0.0
1548122290023119926,0.0
1548122290071082115,0.0
1548122290119062900,0.0
1548122290166815042,0.0
1548122290215092897,0.0
1548122290263103961,0.0
1548122290311208009,0.0
1548122290407135009,0.0
1548122290455138921,0.0
1548122290503225088,0.0
1548122290551047086,0.0
1548122290600164890,0.0
1548122290648089885,0.0
1548122290696228981,0.0
1548122290744240999,0.0
1548122290792072057,0.0
1548122290839731931,0.0
1548122290887890100,0.0
1548122290936141014,0.0
1548122290984122037,0.0
1548122291032048940,0.0
1548122291080235004,0.0
1548122291128120899,0.0
1548122291176076889,0.0
1548122291223988056,0.0
1548122291272121906,0.0
1548122291320027112,0.0
1548122291368114948,0.0
1548122291416213035,0.0
1548122291464209079,0.0
1548122291512109041,0.0
1548122291609266996,0.0
1548122291656975030,0.0
1548122291705267906,0.0
1548122291753061056,0.0
1548122291801224946,0.0
1548122291849191904,0.0
1548122291897176980,0.0
1548122291945214033,0.0
1548122291993185997,0.0
1548122292040843963,0.0
1548122292089026927,0.0
1548122292137125015,0.0
1548122292185144901,0.0
1548122292233145952,0.0
1548122292281234025,0.0
1548122292329152107,0.0
1548122292377104043,0.0
1548122292424993991,0.0
1548122292474100112,0.0
1548122292522212028,0.0
1548122292570137977,0.0
1548122292618069887,0.0
1548122292666167020,0.0
1548122292714004993,0.0
1548122292762151002,0.0
1548122292858165025,0.0
1548122292905759096,0.0
1548122292954176902,0.0
1548122293002170085,0.0
1548122293050226926,0.0
1548122293097953081,0.0
1548122293146152973,0.0
1548122293194134950,0.0
1548122293242221117,0.0
1548122293290296077,0.0
1548122293338248014,0.0
1548122293386200904,0.0
1548122293435264110,0.0
1548122293482781887,0.0
1548122293530983924,0.0
1548122293579194068,0.0
1548122293627182960,0.0
1548122293675148010,0.0
1548122293723268985,0.0
1548122293771033048,0.0
1548122293819116115,0.0
1548122293866911888,0.0
1548122293915127992,0.10000000149
1548122293962994098,0.140000000596
1548122294011187076,0.0
1548122294107147932,0.180000007153
1548122294155172109,0.189999997616
1548122294203188896,0.20000000298
1548122294251055002,0.209999993443
1548122294300088882,0.419999986887
1548122294348028898,0.589999973774
1548122294396225929,0.5
1548122294444159030,0.439999997616
1548122294492285966,0.660000026226
1548122294540051937,0.289999991655
1548122294587971925,0.180000007153
1548122294635962009,0.170000001788
1548122294684180974,0.0
1548122294732180118,0.140000000596
1548122294780051946,0.109999999404
1548122294828083992,0.0
1548122294876121997,0.10000000149
1548122294923948049,0.0
1548122294972101926,0.0
1548122295020209074,0.0799999982119
1548122295068171024,0.0
1548122295116090059,0.0
1548122295164089918,0.0
1548122295211975097,0.0
1548122295309243917,0.0
1548122295357320070,0.0
1548122295405150890,0.0
1548122295453025102,0.0
1548122295501117944,0.0
1548122295549161911,0.0
1548122295597244024,0.0
1548122295645255088,0.0
1548122295693195104,0.0
1548122295741082906,0.0
1548122295789191007,0.0
1548122295837289094,0.0
1548122295885144948,0.0
1548122295932918071,0.0
1548122295981018066,0.0
1548122296028850078,0.0
1548122296077281951,0.0
1548122296125103950,0.0
1548122296172923088,0.0
1548122296222138881,0.0
